Term,Alias1,Alias2,Alias3,Example1,Example2,Example3,Example4,Example5,Example6,Example7,Example8,Example9,Example10,Example11,Example12,Example13,Example14,Example15,Example16,Example17,Example18,Example19,Example20
evening,,,,"As many other reviewers noticed, your order is often slow to arrive - this is particularly true in the <span class=""AS"">evening</span> but is not a problem during lunch time.","The outdoor atmosphere of sitting on the sidewalk watching the world go by 50 feet away on 6th avenue on a cool <span class=""AS"">evening</span> was wonderful.","We thought this a prelude to what the <span class=""AS"">evening</span> will be like.","Great food at REASONABLE prices, makes for an <span class=""AS"">evening</span> that can't be beat!","From the complimentary chef app of a delicate butternut squash ravioli in a delicious truffle sauce to an amazing buttery and tender langostine entree to a dessert that I can't remember because of the fabulous Cakebread Cabernet we were drinking -- the whole <span class=""AS"">evening</span> was amazing.","As many other reviewers noticed, your order is often slow to arrive - this is particularly true in the <span class=""AS"">evening</span> but is not a problem during lunch time.","My first encounter happened one friday <span class=""AS"">evening</span> with a friend.","People dress in suits or <span class=""AS"">evening</span> gowns as well as shirts jeans.","People dress in suits or <span class=""AS"">evening</span> gowns as well as shirts jeans."
lunch,,,,"As many other reviewers noticed, your order is often slow to arrive - this is particularly true in the evening but is not a problem during <span class=""AS"">lunch</span> time.","I recently went to this restaurant with some co-workers for <span class=""AS"">lunch</span> and had an amazing time.","We went here for <span class=""AS"">lunch</span> a couple of weeks ago on a Saturday, and I was thoroughly impressed with the food.","I was on jury duty, rode my bike up Centre Street on my <span class=""AS"">lunch</span> break and came across this great little place with awesome chicken tacos and Hibiscus lemonade.","I've had to wait only a few times during <span class=""AS"">lunch</span> but this place is definitely worth the wait.","This is a consistently great place to dine for <span class=""AS"">lunch</span> or dinner.","Also good for client <span class=""AS"">lunch</span> meetings, esp.","The ambience is pretty and nice for conversation, so a casual <span class=""AS"">lunch</span> here would probably be best.","I've had the <span class=""AS"">lunch</span> buffet at Chennai a couple of times, when I have been in the neighborhood.","It's a great place to pick up a cheap <span class=""AS"">lunch</span> or dinner.","I went there for <span class=""AS"">lunch</span> and it was not as good as I expected from the reviews I read.","I recently went to this restaurant with some co-workers for <span class=""AS"">lunch</span> and had an amazing time.","I've been here 3 times for <span class=""AS"">lunch</span> and it is one of my favorites in the city.","just got back from <span class=""AS"">lunch</span> at Tamarind and it was excellent.","We went here for <span class=""AS"">lunch</span> a couple of weeks ago on a Saturday, and I was thoroughly impressed with the food.","The secret is the <span class=""AS"">lunch</span> menu which offers a complimentary appetizer with every entree ordered.","It' only open for <span class=""AS"">lunch</span> but the food is so good!","As many other reviewers noticed, your order is often slow to arrive - this is particularly true in the evening but is not a problem during <span class=""AS"">lunch</span> time.","I have never been disappointed but their true strength lays in their amazingly delicious and cheap <span class=""AS"">lunch</span> specials.","Was her Monday for <span class=""AS"">lunch</span> - was working on a film in the area - and found this rare jewel."
reviews,review,,,"But I just would like to say I read the <span class=""AS"">reviews</span> people left and thats why I checked it out.","Another <span class=""AS"">review</span> here claimed the pre-fix was $29/per person including sake","We ate at this Thai place following the <span class=""AS"">reviews</span> but very unhappy with the foods.","I went there for lunch and it was not as good as I expected from the <span class=""AS"">reviews</span> I read.","Myagi is one of my favorite restaurants in the City; the place the negative <span class=""AS"">reviews</span> describe sound like they were somewhere else.","I must say I am surprised by the bad <span class=""AS"">reviews</span> of the restaurant earlier in the year, though.","Look I dont know if the people who wrote the <span class=""AS"">reviews</span> have ever been to a decent place (PLEASE TRY SOMEOTHER PLACES).","I am surprised at the lower <span class=""AS"">reviews</span> because it is definitely better than other places I have tried with higher ratings.","This is my first time writing a <span class=""AS"">review</span> for a restaurant because the food and service was excellent.","Okay, so I never write but there doesn't seem to fair balance of positive to negative <span class=""AS"">reviews</span> concerning Green Bo","I read the other <span class=""AS"">review</span> and have to say I had the opposite experience here last Sunday.","After so many great <span class=""AS"">reviews</span> here, my bf and I went to Esca to celebrate my birthday last nite.","We ate at this Thai place following the <span class=""AS"">reviews</span> but very unhappy with the foods.","I almost hesititate to write a <span class=""AS"">review</span> because the atmosphere was so great","Having hunted around for a quiet, romantic, yet not hideously expensive restaurant I stumbled across <span class=""AS"">reviews</span> for La Lanterna and gave it a shot.","My husband and I ate here after reading <span class=""AS"">reviews</span> here as well as hobokeni.com,","This will be only the third online <span class=""AS"">review</span> I have ever made about a restaurant in my life.","I almost hesititate to write a <span class=""AS"">review</span> because the atmosphere was so great","Based on the <span class=""AS"">reviews</span> on here, it appears that the restaurant is overwhelmed after the 7 PM.","Her <span class=""AS"">review</span> is above."
meats,meat,,,"They were such a rip-off ($8.95 for four small <span class=""AS"">meat</span> patties in steamed buns) and not worth trying.","We ordered the chicken casserole, but what we got were a few small pieces of chicken, all dark <span class=""AS"">meat</span> and on the bone.","What really makes it shine is the food, which is aggressively seasoned with Cyrpriot spices, and all made in-house (even the gyro <span class=""AS"">meat</span> and sausages), and made of much higher quality ingredients that might otherwise be expected.","This restaurant is VEGETARIAN; there are NO <span class=""AS"">MEAT</span> dishes whatsoever.","So, I switch with my boyfriend again to see if maybe I could stomach the <span class=""AS"">meat</span> and spinach again, but the spinach was so undercooked that I just could not bite through it.","They were such a rip-off ($8.95 for four small <span class=""AS"">meat</span> patties in steamed buns) and not worth trying.","The <span class=""AS"">meat</span> dishes were only so-so.","We ordered the chicken casserole, but what we got were a few small pieces of chicken, all dark <span class=""AS"">meat</span> and on the bone.","They are tasty, but I suggest only eating one with <span class=""AS"">meat</span> because they tend not to mesh that well with the average American digestive system.","Rather than eating the <span class=""AS"">meat</span> entree being offered, I requested a vegetarian dish.","The <span class=""AS"">meat</span> is fresh, the sauces are great, you get kimchi and a salad free with your meal and service is good too.","The lamb <span class=""AS"">meat</span> was under-cooked and EXTRMELY CHEWY.","The quality of the <span class=""AS"">meat</span> was on par with your local grocery store."
family,,,,"I would highly recommend Nina's to anyone who wants to have a romantic dinner in a heart warming surrounding filled with candles and <span class=""AS"">family</span> pictures.","Nice <span class=""AS"">Family</span> owned traditional restaurant.","Feels like <span class=""AS"">family</span> when we go there.","Get the pepperoni - YUM - and a <span class=""AS"">family</span> style salad.","My suggestion is to eat <span class=""AS"">family</span> style because you'll want to try the other dishes.","My <span class=""AS"">family</span> and I ate here last night for our annual Christmas dinner with the family members who would rather spend the holidays with friends out-of-town.","For myself and <span class=""AS"">family</span> we would only go here to celebrate an occassion, I do prefer smaller, quiter restaurants.","We were 4 and got the <span class=""AS"">family</span> size penne a la vodka which was tremendously gigantic portion...a bucket of food literally.","I am bringing my whole <span class=""AS"">family</span> back next time.","I come from a <span class=""AS"">family</span> of pizzeria owners, and I'm almost ashamed to say that the pizza in Fornino's blows my families receipies away.","I went here for a <span class=""AS"">family</span> birthday dinner.","The restaurant has a <span class=""AS"">Family</span> feel, not least with regard to the portions which are enormous; the veal alone could have single-handedly solved third world famine.","The <span class=""AS"">family</span> seafood entree was very good.","I am bringing my whole <span class=""AS"">family</span> back next time.","Kenny the owner is always there and he treats my <span class=""AS"">family</span> like we are part of his family.","When <span class=""AS"">family</span> came in he gave them apps to test their palets, and then ordered for them.","I went to Swiftys with some friends of the <span class=""AS"">family</span> and we had a very nice dinner, but nothing amazing.","Our <span class=""AS"">family</span> never expected such incredible entertainment in a restaurant.","My <span class=""AS"">family</span> ate here last weekend.","I come from a <span class=""AS"">family</span> of pizzeria owners, and I'm almost ashamed to say that the pizza in Fornino's blows my families receipies away."
midtown,,,,"The food is above average for <span class=""AS"">midtown</span> and sligtly better than some of the other Heartland Breweries in the city.","All in all, this <span class=""AS"">midtown</span> gem instantly became one of my favorite sushi restaurants in the city.","There are many french bistros in the <span class=""AS"">midtown</span> area, and I wholheartedly recommend this one.","All in all, this <span class=""AS"">midtown</span> gem instantly became one of my favorite sushi restaurants in the city.","The Black Sheep distinguishes itself from the <span class=""AS"">Midtown</span> pub herd with a look that's a mix of sports-bar butch and ornate kitsch.","Really Lovely dining experience in the midst of buzzing <span class=""AS"">midtown</span> area.","The service was attentive, yet unimposing, the food was far better than many notorious restaurants in <span class=""AS"">Midtown</span> and the wine list is extensive and well priced.","The service was attentive, yet unimposing, the food was far better than many notorious restaurants in <span class=""AS"">Midtown</span> and the wine list is extensive and well priced."
seating,,,,"short and sweet – <span class=""AS"">seating</span> is great:it's romantic,cozy and private.","So, if you're walking by and thinking about dining, you might want to see who's going to be <span class=""AS"">seating</span> you first...","Oh yes, and they lie on the phone, claiming they have <span class=""AS"">seating</span> in the garden, then of course the seats are not available.","The place is larger than most and features adequate <span class=""AS"">seating</span> unlike most joints, and has a bar which deserves a mention.","There is also very limited <span class=""AS"">seating</span> and there can be a substantial wait in getting food at peak times.","Warm and friendly in the winter and terrific outdoor <span class=""AS"">seating</span> in the warmer months.","Warm and friendly in the winter and terrific outdoor <span class=""AS"">seating</span> in the warmer months."
trip,,,,"Went on a 3 day oyster binge, with Fish bringing up the closing, and I am so glad this was the place it O <span class=""AS"">trip</span> ended, because it was so great!","It was the first place we ate on our first <span class=""AS"">trip</span> to New York, and it will be the last place we stop as we head out of town on our next trip to New York.","Went on a 3 day oyster binge, with Fish bringing up the closing, and I am so glad this was the place it O <span class=""AS"">trip</span> ended, because it was so great!","During our <span class=""AS"">trip</span> to NYC, we made reservations to dine in the pool room of the Four Seasons for their pre-theater menu (offering a modified menu for $65 pp).","its a little out of the way if you don't live in the neighborhood, but definitely worth the <span class=""AS"">trip</span> from wherever you are.","its a little out of the way if you don't live in the neighborhood, but definitely worth the <span class=""AS"">trip</span> from wherever you are.","Don't miss Bloom's on your next <span class=""AS"">trip</span> to Manhatten.","Worth the <span class=""AS"">trip</span> from Manhattan.","However, go for the ambience, and consider the food just a companion for a <span class=""AS"">trip</span> across the world!","All the various Greek and Cypriot dishes are excellent, but the gyro is the reason to come--if you don't eat one your <span class=""AS"">trip</span> was wasted.","However, go for the ambience, and consider the food just a companion for a <span class=""AS"">trip</span> across the world!","Definitely worth the <span class=""AS"">trip</span> to Battery Park City!","Worth the <span class=""AS"">trip</span> from Manhattan."
oysters,oyster,,,"Went on a 3 day <span class=""AS"">oyster</span> binge, with Fish bringing up the closing, and I am so glad this was the place it O trip ended, because it was so great!","Went on a 3 day <span class=""AS"">oyster</span> binge, with Fish bringing up the closing, and I am so glad this was the place it O trip ended, because it was so great!","Not only have I worked in restaurants for many years, I am now in culinary school, I am a huge lover of <span class=""AS"">oysters</span> and fish, and my girlfriend is half Korean!","The appetizers we ordered were served quickly - an order of fried <span class=""AS"">oysters</span> and clams were delicious but a tiny portion (maybe 3 of each).","All I can say is $2 pints during happy hour and the some of the cheapest <span class=""AS"">oysters</span> you'll find in the city, though the quality is some of the best."
find,,,,"I have been in NYC for over 10 years and could not <span class=""AS"">find</span> this delicacy east of the Hudson .","I <span class=""AS"">find</span> that most Kosher restaurants are average to good, but this has been the best I've eaten so far.","You will <span class=""AS"">find</span> yourself returning quite often.","In such a crappy part of town to <span class=""AS"">find</span> a good value for lunch, this place is great.","I am surprised to say the least and <span class=""AS"">find</span> such practice not worth the effort.","It may be a bit packed on weekends, but the vibe is good and it is the best French food you will <span class=""AS"">find</span> in the area.","first it took us a long time to <span class=""AS"">find</span> the place.","Warning: You may <span class=""AS"">find</span> it difficult to dine at other Japanese restaurants after a visit to Mizu!","If you live in new york city, you'll <span class=""AS"">find</span> better food at small restaurants outside of time square and spend half the amount.","You can certainly <span class=""AS"">find</span> restaurants that offer a superior fine dining experience, but for superb food at reasonable prices, La Villa can't be beat.","Having been a long time Ess-a-Bagel fan, I was surpised to <span class=""AS"">find</span> myself return time and time again to Murray's.","When he finally did, he was unable to make a gin and tonic -- couldn't <span class=""AS"">find</span> tonic.","Mizu is the Japenese <span class=""AS"">find</span> in Grammercy.","It's nice to <span class=""AS"">find</span> a place that is open 24 hours (especially in downtown Brooklyn).","Get your food to go, <span class=""AS"">find</span> a bench, and kick back with a plate of dumplings.","Mizu is the Japenese <span class=""AS"">find</span> in Grammercy.","Anytime and everytime I <span class=""AS"">find</span> myself in the neighborhood I will go to Sushi Rose for fresh sushi and great portions all at a reasonable price.","Really, I <span class=""AS"">find</span> it rather scandalous that such a crappy restaurant attracts such crowds--this, in the city of a million restaurants, at least 9/10 of which are way better than this one.","It may be a bit packed on weekends, but the vibe is good and it is the best French food you will <span class=""AS"">find</span> in the area.","Winnie and her staff are the best crew you can <span class=""AS"">find</span> serving you."
spot,,,,"I recommend that you try this hidden <span class=""AS"">spot</span> which will surely blowup very soon","Metrazur has a beautiful <span class=""AS"">spot</span> overlooking the main terminal.","Would recommend this place as a good date <span class=""AS"">spot</span> if you don't want to drop a ton of cash.","It is the best hidden <span class=""AS"">spot</span> there","I recommend this <span class=""AS"">spot</span> to anyone who enjoys  fine cuisine at reasonable prices.","I've had my fair share of modern Japanese and this <span class=""AS"">spot</span> delivers.","As a long-time patron of Mamoun's, I always figured that I had found the best late night food <span class=""AS"">spot</span> in the city.","This is the perfect date <span class=""AS"">spot</span> for Williamsburg couples.","The restaurant is dark and not very attractive and then you have <span class=""AS"">spot</span> lights shining on you putting you in the worst light possible, reaching for sunglasses.","I found it on a cold night, the perfect <span class=""AS"">spot</span> to warm up.","Definitely a great <span class=""AS"">spot</span> for a nice occasion or date.","I found it on a cold night, the perfect <span class=""AS"">spot</span> to warm up.","This is definitely an  excellent date <span class=""AS"">spot</span> because of the ambiance and on the weekends the  night scene is more than alive.","I have been coming to this neighborhood <span class=""AS"">spot</span> for years.","Jimmy's is hands down the hottest night <span class=""AS"">spot</span> in the Bronx.","An unpretentious <span class=""AS"">spot</span> in Park Slope, the sushi is consistently good, the service is pleasant, effective and unassuming.","This tiny Williamsburg <span class=""AS"">spot</span> is always pleasantly surprising.","This small Astoria souvlaki <span class=""AS"">spot</span> makes what many consider the best gyros in New York.","This is literally a hot <span class=""AS"">spot</span> when it comes to the food.","It hits the <span class=""AS"">spot</span> every time"
waiters,waiter,,,"After the main course came, we didn't see our <span class=""AS"">waiter</span> for at least 40 MINUTES!","The food was delicious and the <span class=""AS"">waiter</span> was incredibly helpful and attentive (considering we were the only ones there for the first hour).","We also asked for Hooka six times and the <span class=""AS"">waiter</span> kept telling us one minute and never returning with the Hooka.","excuse me’ before the <span class=""AS"">waiter</span> opens the little curtain to your booth!","The manager then told us we could order from whatever menu we wanted but by that time we were so annoyed with the <span class=""AS"">waiter</span> and the resturant that we let and went some place else.","I complained to the <span class=""AS"">waiter</span> and then to the manager, but the intensity of rudeness from them just went up.","The <span class=""AS"">waiter</span> was attentive.","Complimentary stuff kept coming, and when the <span class=""AS"">waiter</span> saw me opening a gift, I received my dessert on a plate that had Happy Birthday written on it, with a candlevery nice touch, and attentive staff.","Our <span class=""AS"">waiter</span> was friendly and it is a shame that he didnt have a supportive staff to work with.","One would think we'd get an apology or complimentary drinks - instead, we got a snobby <span class=""AS"">waiter</span> wouldn't even take our order for 15 minutes and gave us lip when we asked him to do so.","When my dessert came, there was a candle in it - not because anyone asked for one - but because the <span class=""AS"">waiter</span> must have seen me opening my birthday card and gift, and said he knew it was a special occassion of some sort.","Just bring someone who speaks Cantonese because <span class=""AS"">waiter</span> may not understand you.","The <span class=""AS"">waiters</span> ALWAYS look angry and even ignore their high-tipping regulars.","THEY HAVE <span class=""AS"">WAITERS</span> ON THE SIDEWALK TRYING TO PULL YOU","Ive been here so many times the <span class=""AS"">waiters</span> know my name.","The atmosphere is noisy and the <span class=""AS"">waiters</span> are literally walking around doing things as fast as they can.","It's really also the service, is good and the <span class=""AS"">waiters</span> are friendly.","The <span class=""AS"">waiter</span> delivered our food while holding what appeared to be a plastic bag of garbage in one hand.","We were greeted promptly by the <span class=""AS"">waiter</span> who was very nice and cordial.","I have never in my life sent back food before, but I simply had to, and the <span class=""AS"">waiter</span> argued with me over this."
everything,,,,"The menu is great, with a good selection, and <span class=""AS"">everything</span> that I have tried is absolutely delicious.","We order a bit of <span class=""AS"">everything</span> on the menu.","The hostess and the waitress were incredibly rude and did <span class=""AS"">everything</span> they could to rush us out.","Maybe the secret was that we went on a Sunday night and <span class=""AS"">everything</span> was great.","Try the olive cream cheese or the lox spread on a whole wheat <span class=""AS"">everything</span> bagel.","The other night we had the $30 three course meal and <span class=""AS"">everything</span> was delicious - if I could of licked the plate clean","The rest of the menu is limited by <span class=""AS"">everything</span> is good eats.","Even my Indian friend couldn't believe how good and tasty <span class=""AS"">everything</span> was.","Overall the restaurant is more expensive than our other sushi favorites, but <span class=""AS"">everything</span> was delicious.","While the room is not particularly comfortable, once you're seated you'll forget about <span class=""AS"">everything</span> except what's on your plate.","The service was terrible, we had to wait for <span class=""AS"">everything</span> and ask several of different people for the same thing before we were allowed to be served.","Fresh ingredients and <span class=""AS"">everything</span> is made to order.","A glass of Leaping Lizard, a glass of prosecco, and the mussels had <span class=""AS"">everything</span> happy.","The jukebox plays <span class=""AS"">everything</span> from Italian Opera to The Strokes.","The staff isn't the friendliest or most competent, and I am stickler for service, but <span class=""AS"">everything</span> else about this place makes up for it.","Despite a slightly limited menu, <span class=""AS"">everything</span> prepared is done to perfection, ultra fresh and a work of food art.","Fresh ingredients and <span class=""AS"">everything</span> is made to order.","Try <span class=""AS"">everything</span> for that matter, it is all good.","Despite a slightly limited menu, <span class=""AS"">everything</span> prepared is done to perfection, ultra fresh and a work of food art.","The service was terrible, we had to wait for <span class=""AS"">everything</span> and ask several of different people for the same thing before we were allowed to be served."
menu,,,,"The <span class=""AS"">menu</span> is great, with a good selection, and everything that I have tried is absolutely delicious.","The manager then told us we could order from whatever <span class=""AS"">menu</span> we wanted but by that time we were so annoyed with the waiter and the resturant that we let and went some place else.","The takeout <span class=""AS"">menu</span> says to keep an eye out for an expanded menu offering more italian dishes, I can't wait!","The staff is very kind and well trained, they're fast, they are always prompt to jump behind the bar and fix drinks, they know details of every item in the <span class=""AS"">menu</span> and make excelent recomendations.","The Prix Fixe <span class=""AS"">menu</span> is worth every penny and you get more than enough (both in quantity AND quality).","Everything is excellent, the <span class=""AS"">menu</span> is quite extensive, and you eat with a view on both sides of the city.","During our trip to NYC, we made reservations to dine in the pool room of the Four Seasons for their pre-theater <span class=""AS"">menu</span> (offering a modified menu for $65 pp).","With the great variety on the <span class=""AS"">menu</span> , I eat here often and never get bored .","The rest of the <span class=""AS"">menu</span> is limited by everything is good eats.","So, the <span class=""AS"">menu</span> is written in chalk above your head and it all sounds delicious.","The service was attentive and her suggestions of <span class=""AS"">menu</span> items was right on the mark.","Give it a try, <span class=""AS"">menu</span> is typical French but varied.","A new Jazz Bar, the most fantastic Dining Garden, the Best Thin Crust Pizzas, and now a Lasagna <span class=""AS"">Menu</span> which is to die for (these are not your average lasagnas)!","The <span class=""AS"">menu</span> looked good, except for offering the Chilean Sea Bass, but the server does not offer up the specials that were written on the board outside.","their brunch <span class=""AS"">menu</span> had something for everyone.","The <span class=""AS"">menu</span> consisted of standard brassiere food, better then places like Balthazar etc.","I book a gorgeous white organza tent which included a four course prix fix <span class=""AS"">menu</span> which we enjoyed a lot.","The Prix Fixe <span class=""AS"">menu</span> is worth every penny and you get more than enough (both in quantity AND quality).","The <span class=""AS"">menu</span> seemed to have a wide variety of dishes for seafood lovers and interesting ways of preparing them.","The only possible drawback to this last point is that as of the date of this posting, the additional <span class=""AS"">menu</span> items are only written in Chinese."
dishs,dish,,,"I ordered a Chicken Teriyaki <span class=""AS"">dish</span> and found that the chicken was extremely dry.","The <span class=""AS"">dish</span> had like 6 pieces of beef in it.","When the <span class=""AS"">dish</span> arrived it was blazing with green chillis, definitely not edible by a human.","The food, served in small tasting portions (as an option) is very good with each <span class=""AS"">dish</span> being better than the next.","I had to ask her three times before she finally came back with the <span class=""AS"">dish</span> Ive requested.","This <span class=""AS"">dish</span> is my favorite","I only tried a simple <span class=""AS"">dish</span> of spinach ravioli in a light oil and garlic sauce, but it actually faired better than most NYC Italian joints I've tried similar dishes at.","I had the salmon <span class=""AS"">dish</span> and while it was fine, for the price paid, I expected it to have some type of flavor.","We both opted for a pasta <span class=""AS"">dish</span> and they were served timely and fresh.","When asked about how a certain <span class=""AS"">dish</span> was prepared in comparison to a similar at other thai restaurants, he replied this is not Mcdonald's, every place makes things differently While it is understandable that every place is indeed different, there was not a need to be uncourteous to customers and downright rude.","The have over 100 different beers to offer thier guest so that made my husband very happy and the food was delicious, if I must recommend a <span class=""AS"">dish</span> it must be the pumkin tortelini.","I mentioned the squid <span class=""AS"">dish</span> wasn't very good when the waitress visited.","I picked the Grilled Black Cod as my entree, which I absolutely devoured while someone commented that the Grilled Salmon <span class=""AS"">dish</span> was better.","When asked about how a certain <span class=""AS"">dish</span> was prepared in comparison to a similar at other thai restaurants, he replied this is not Mcdonald's, every place makes things differently","I recommend the black roasted codfish, it was the best <span class=""AS"">dish</span> of the evening.","Considering their price of $6.25 for lunch special, the <span class=""AS"">dish</span> was ridiculously small.","Best <span class=""AS"">dish</span> is nori-wrapped tuna.","This <span class=""AS"">dish</span> is my favorite","I found the food to be outstanding, particulary the salmon <span class=""AS"">dish</span> I had.","We had the pot-stickers which were great and a tempura <span class=""AS"">dish</span> that was great."
noodles,noodle,,,"Really tasty spring rolls and <span class=""AS"">noodles</span> for a good price though.","rice dishes and <span class=""AS"">noodle</span> dishes rarely exceed $5 and add on a refreshing ice drink for $2","I LOVE their Thai <span class=""AS"">noodles</span> with shrimp and chicken and coconut juice is the MUST!","The calamari comes with an incredible sauce, and the duck <span class=""AS"">noodles</span> are yummy as well.","We ordered some beef and <span class=""AS"">noodle</span> soup dishes from the Thai section of the menu but nothing we got was Thai.","Beef <span class=""AS"">noodle</span> soup is good as well.","I really liked the <span class=""AS"">noodle</span> dishes at Rice Avenue compared to their Green Curry dish.","The <span class=""AS"">noodle</span> and rices dishes taste great.","We ordered some beef and <span class=""AS"">noodle</span> soup dishes from the Thai section of the menu but nothing we got was Thai.","I usually get one the Vietnamese Beef <span class=""AS"">Noodle</span> Soup.","I ordered tamarind duck and my wife ordered <span class=""AS"">noodles</span> with ground beef, and we were both delighted by the way the dishes evoked Thai flavors in unexpected ways.","Beef <span class=""AS"">noodle</span> soup is good as well."
ingredients,ingredient,,,"The crust is thin, the <span class=""AS"">ingredients</span> are fresh and the staff is friendly.","They did not have mayonnaise, forgot our toast, left out <span class=""AS"">ingredients</span> (ie cheese in an omelet), below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it.","What really makes it shine is the food, which is aggressively seasoned with Cyrpriot spices, and all made in-house (even the gyro meat and sausages), and made of much higher quality <span class=""AS"">ingredients</span> that might otherwise be expected.","The <span class=""AS"">ingredients</span> taste fresher, the crust is thinner and crispier, the slice is less oily, and it's never burnt like it occasionally is at Joe's.","They don't seem to place an emphasis on specials or fresh <span class=""AS"">ingredients</span> which to me is necessary for good thai.","Fresh <span class=""AS"">ingredients</span> and everything is made to order.","Fresh <span class=""AS"">ingredients</span> and everything is made to order.","Quality <span class=""AS"">ingredients</span> preparation all around, and a very fair price for NYC.","Dip the <span class=""AS"">ingredients</span> in with your chopsticks, swirl them around, and eat.","The combination of super-fresh <span class=""AS"">ingredients</span> in the dishes are unusual but really delicious.","Overall, the <span class=""AS"">ingredients</span> and technique are there"
crust,,,,"The <span class=""AS"">crust</span> is thin, the ingredients are fresh and the staff is friendly.","The ingredients taste fresher, the <span class=""AS"">crust</span> is thinner and crispier, the slice is less oily, and it's never burnt like it occasionally is at Joe's.","A new Jazz Bar, the most fantastic Dining Garden, the Best Thin <span class=""AS"">Crust</span> Pizzas, and now a Lasagna Menu which is to die for (these are not your average lasagnas)!","Pizza - the only pizza in NYC that should not have additional toppings - the <span class=""AS"">crust</span> tastes like the best, freshly baked bread!","But they've done a really nice job of offering all the typical pizzeria faves plus some terrific specials like the Godmother pizza (a sort of traditional flat pizza with an olive oil-brushed <span class=""AS"">crust</span> and less tomato sauce than usual).","Yes, they use fancy ingredients, but even fancy ingredients don't make for good pizza unless someone knows how to get the <span class=""AS"">crust</span> right.","The sauce is zesty and flavorful and the <span class=""AS"">crust</span> is nice and crispy.","cirspy <span class=""AS"">crust</span> margherita pizza","Yes, they use fancy ingredients, but even fancy ingredients don't make for good pizza unless someone knows how to get the <span class=""AS"">crust</span> right.","All toppings are so fresh you'd think they had their own vegetable garden and the <span class=""AS"">crust</span> is so perfect, that one actually thinks of how it was made.","Pizza - the only pizza in NYC that should not have additional toppings - the <span class=""AS"">crust</span> tastes like the best, freshly baked bread!","The sauce is delicious and the <span class=""AS"">crust</span> is perfect.","the <span class=""AS"">crust</span> was imazingly cooked well and pizza was fully loaded:):):)"
appetizers,appetizer,,,"Two complaints- their <span class=""AS"">appetizer</span> selection stinks, it would be nice to get some mozzarella sticks on the menu.","The <span class=""AS"">appetizers</span> are just OK and the main courses were decidedly subpar.","The cold <span class=""AS"">appetizer</span> dishes taste like the way I remember them to taste when I was growing up in Taiwan.","We always get a sampling of <span class=""AS"">appetizers</span> and share.","Two complaints- their <span class=""AS"">appetizer</span> selection stinks, it would be nice to get some mozzarella sticks on the menu.","It was pleasantly uncrowded, the service was delightful, the garden adorable, the food (from <span class=""AS"">appetizers</span> to entrees) was delectable.","Their tuna tartar <span class=""AS"">appetizer</span> is to die for.","I ordered the smoked salmon and roe <span class=""AS"">appetizer</span> and it was off flavor.","Next time, we wouldn't dare ordering anything else other than some simple Asian <span class=""AS"">appetizers</span> and drinks.","The baked clams octopus we shared as <span class=""AS"">appetizers</span> were the best we've ever had!!","but, the filet mignon was not very good at all cocktail hour includes free <span class=""AS"">appetizers</span> (nice non-sushi selection).","The halibut cheek <span class=""AS"">appetizer</span> came with a generous portion of foie gras, but that's about the only positive thing I can say about the meal.","The bread we received was horrible - rock hard and cold - and the ""free"" <span class=""AS"">appetizer</span> of olives was disappointing.","Next time, we wouldn't dare ordering anything else other than some simple Asian <span class=""AS"">appetizers</span> and drinks.","try the spicy shrimp <span class=""AS"">appetizer</span> (again, not the greatest value in the world but worth the price) and the lamb vindaloo is great.","The portions are HUGE, so it might be good to order three things to split (rather than one <span class=""AS"">appetizer</span> and entree per person) for two people.","Pizzas were excellent in addition to <span class=""AS"">appetizers</span> and main courses.","We had the scallops as an <span class=""AS"">appetizer</span> and they were delicious and the sauce was wonderful.","but when we looked at the menu, there weren't a lot of choices, most of them were dumplings in the <span class=""AS"">appetizer</span> section.","A different server enhanced the fun, dumping our entrees in front of us halfway through our <span class=""AS"">appetizer</span> (which was delicious)."
mozzarella,,,,"Two complaints- their appetizer selection stinks, it would be nice to get some <span class=""AS"">mozzarella</span> sticks on the menu.","Two complaints- their appetizer selection stinks, it would be nice to get some <span class=""AS"">mozzarella</span> sticks on the menu.","The pizza is delicious - they use fresh <span class=""AS"">mozzarella</span> instead of the cheap, frozen, shredded cheese common to most pizzaria's.","The pizza is delicious - they use fresh <span class=""AS"">mozzarella</span> instead of the cheap, frozen, shredded cheese common to most pizzaria's."
